pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
27.298776,-38.999694,90.0,bottom,R3,,,Jumpered_R_0402_1005Metric,0,smt
35.698776,-23.999694,-90.0,bottom,R3,,,Jumpered_R_0402_1005Metric,0,smt
5.698776,-23.999694,-90.0,bottom,R3,,,Jumpered_R_0402_1005Metric,0,smt
41.332228,-6.666242,135.0,bottom,R4,,,Jumpered_R_0402_1005Metric,0,smt
11.332228,-6.666242,135.0,bottom,R4,,,Jumpered_R_0402_1005Metric,0,smt
21.665324,-11.333146,-45.0,bottom,R4,,,Jumpered_R_0402_1005Metric,0,smt
41.332228,-36.666242,135.0,bottom,R4,,,Jumpered_R_0402_1005Metric,0,smt
11.332228,-36.666242,135.0,bottom,R4,,,Jumpered_R_0402_1005Metric,0,smt
41.332228,-21.666242,135.0,bottom,R4,,,Jumpered_R_0402_1005Metric,0,smt
11.332228,-21.666242,135.0,bottom,R4,,,Jumpered_R_0402_1005Metric,0,smt
21.665324,-26.333146,-45.0,bottom,R4,,,Jumpered_R_0402_1005Metric,0,smt
21.665324,-41.333146,-45.0,bottom,R4,,,Jumpered_R_0402_1005Metric,0,smt
8.998776,-27.299694,0.0,bottom,R5,,,Jumpered_R_0402_1005Metric,0,smt
38.998776,-27.299694,0.0,bottom,R5,,,Jumpered_R_0402_1005Metric,0,smt
23.998776,-35.699694,180.0,bottom,R5,,,Jumpered_R_0402_1005Metric,0,smt
23.998776,-20.699694,180.0,bottom,R5,,,Jumpered_R_0402_1005Metric,0,smt
8.998776,-42.299694,0.0,bottom,R5,,,Jumpered_R_0402_1005Metric,0,smt
8.998776,-12.299694,0.0,bottom,R5,,,Jumpered_R_0402_1005Metric,0,smt
23.998776,-5.699694,180.0,bottom,R5,,,Jumpered_R_0402_1005Metric,0,smt
38.998776,-42.299694,0.0,bottom,R5,,,Jumpered_R_0402_1005Metric,0,smt
38.998776,-12.299694,0.0,bottom,R5,,,Jumpered_R_0402_1005Metric,0,smt
11.332228,-26.333147,45.0,bottom,R6,,,Jumpered_R_0402_1005Metric,0,smt
41.332228,-41.333147,45.0,bottom,R6,,,Jumpered_R_0402_1005Metric,0,smt
21.665324,-36.666241,-135.0,bottom,R6,,,Jumpered_R_0402_1005Metric,0,smt
21.665324,-6.666241,-135.0,bottom,R6,,,Jumpered_R_0402_1005Metric,0,smt
11.332228,-11.333147,45.0,bottom,R6,,,Jumpered_R_0402_1005Metric,0,smt
11.332228,-41.333147,45.0,bottom,R6,,,Jumpered_R_0402_1005Metric,0,smt
21.665324,-21.666241,-135.0,bottom,R6,,,Jumpered_R_0402_1005Metric,0,smt
41.332228,-26.333147,45.0,bottom,R6,,,Jumpered_R_0402_1005Metric,0,smt
41.332228,-11.333147,45.0,bottom,R6,,,Jumpered_R_0402_1005Metric,0,smt
12.298776,-8.999694,90.0,bottom,R7,,,Jumpered_R_0402_1005Metric,0,smt
42.298776,-23.999694,90.0,bottom,R7,,,Jumpered_R_0402_1005Metric,0,smt
12.298776,-23.999694,90.0,bottom,R7,,,Jumpered_R_0402_1005Metric,0,smt
42.298776,-8.999694,90.0,bottom,R7,,,Jumpered_R_0402_1005Metric,0,smt
12.298776,-38.999694,90.0,bottom,R7,,,Jumpered_R_0402_1005Metric,0,smt
20.698776,-38.999694,-90.0,bottom,R7,,,Jumpered_R_0402_1005Metric,0,smt
20.698776,-8.999694,-90.0,bottom,R7,,,Jumpered_R_0402_1005Metric,0,smt
20.698776,-23.999694,-90.0,bottom,R7,,,Jumpered_R_0402_1005Metric,0,smt
42.298776,-38.999694,90.0,bottom,R7,,,Jumpered_R_0402_1005Metric,0,smt
23.998776,-38.999694,180.0,bottom,U1,,,extra_clearence_VQFN-20-1EP_3x3mm_P0.4mm_EP1.7x1.7mm,ATtiny406-M,smt
8.998776,-23.999694,0.0,bottom,U1,,,extra_clearence_VQFN-20-1EP_3x3mm_P0.4mm_EP1.7x1.7mm,ATtiny406-M,smt
38.998776,-23.999694,0.0,bottom,U1,,,extra_clearence_VQFN-20-1EP_3x3mm_P0.4mm_EP1.7x1.7mm,ATtiny406-M,smt
8.998776,-8.999694,0.0,bottom,U1,,,extra_clearence_VQFN-20-1EP_3x3mm_P0.4mm_EP1.7x1.7mm,ATtiny406-M,smt
23.998776,-8.999694,180.0,bottom,U1,,,extra_clearence_VQFN-20-1EP_3x3mm_P0.4mm_EP1.7x1.7mm,ATtiny406-M,smt
38.998776,-8.999694,0.0,bottom,U1,,,extra_clearence_VQFN-20-1EP_3x3mm_P0.4mm_EP1.7x1.7mm,ATtiny406-M,smt
23.998776,-23.999694,180.0,bottom,U1,,,extra_clearence_VQFN-20-1EP_3x3mm_P0.4mm_EP1.7x1.7mm,ATtiny406-M,smt
8.998776,-38.999694,0.0,bottom,U1,,,extra_clearence_VQFN-20-1EP_3x3mm_P0.4mm_EP1.7x1.7mm,ATtiny406-M,smt
38.998776,-38.999694,0.0,bottom,U1,,,extra_clearence_VQFN-20-1EP_3x3mm_P0.4mm_EP1.7x1.7mm,ATtiny406-M,smt
